main_headline,classification
THE GREAT REBELLION.; Latest News from the Seat of Army Operations. An Important Order from Gen. McClellan. Strict Military Discipline to be Enforced. Gen. Banks' Head-quarters at Sandy Hook. Rumored Advance of the Rebels Through Leesburgh. Imortant Proceedings of the Missouri Convention.The State Officers and Members of theLegislature Deposed.Gov. Morgan's Order for the New Levy from New-York.The Maryland State Prisoners inFort Lafayette. Interesting Congressional Proceedings.,10
"THE BLOCKADING SERVICE.; LETTER FROM ON BOARD THE ROANOKE. AFFAIRS AT FORTRESS MONROE THE EXPEDITION TO BACK RIVER TROOPS LEAVING FOR WASHINGTON, ETC. UNITED STATES STEAM-FRIGATE ROANOKE AT SES.",10
THE BLOCKADING SERVICE.; LETTER FROM ON BOARD THE CUYLER A GENERAL GROWL ALL ROUND. Correspondence of the New-York Times.,10
"THE GREAT REBELLION.; Everything Quiet and Hot at Washington. REPORTED INVASION OF KENTUCKY. Rebel Troops Marching on Barboursville.Union Men Rising in all the Neighboring Counties.A Startling Report from Richmond.Admiral Dundas Going to Run theCharleston Blockade.ALL QUIET AT FORTRESS MONROE.Gen. Butler Protecting the Fugitivesfrom Hampton.Another Expedition Against ContrabandTraders.SPECIAL DISPATCH FROM WASHINGTON. WASHINGTON, Saturday, Aug. 10.",10
"THE STRENGTH OF THE REBELS.; Their Unity and Concentration of Purpose-- Siaveholders and Offices--How a Minority is Enabled to Rule, & c.",10
GENERAL MARKETS.; Movements of Ocean Steamers. Mails Close at the Post-office.,10
THE GREAT REBELLION.; Startling Reports from the Upper Potomac. Withdrawal of Gen. Banks' Command from Sandy Hook. The Rebels Reoccupying Harper's Ferry. Rumored Advance of Gen. Banks to Winchester. IMPORTANT FROM MISSOURI. MOVEMENTS OF THE REBEL FORCES. Ben. McCulloch Revives and Issues a Proclamation. Capture of a Rebel Steamer on the Mississippi. Another Skirmish in the Kanawha Valley. Important Arrests of Secession Agents. SUPPRESSION OF SECESSION NEWSPAPERS. SPECIAL DISPATCH FROM WASHINGTON. COL. DURYEE. AFFAIRS IN WESTERN VIRGINIA. IMPORTANT ARRESTS. THE SEVENTY-NINTH MUTINEERS. REVIEWED BY THE PRESIDENT. ANOTHER COURT-MARTIAL. THE NEW-YORK COMPTROLLER. COL. M'CUNN. THE SIXTY-NINTH. SENATOR WILSON ON THE STAFF. THE NEW-YORK ALLIANCE. REPORTS FROM ALEXANDRIA.,10
"LOCAL MILITARY MOVEMENTS.; LINCOLN CAVALRY. DEPARTURE OF THE CAMERON RIFLES A DISGRACEFUL ROW. THE HANCOCK GUARD. BRITISH VOLUNTEERS. FIRST REGIMENT WASHINGTON GREYS, FIRST REGIMENT FREMONT RIFLES. THE SECOND REGIMENT FIRE ZOUAVES. THE NEW-YORK RIFLES. THE GERMAN RIFLES. THE MANHATTAN RIFLES.",10
"Mayor Berrett, of Washington, a Prisoner of State.; Important Seizures of Goods Destined for the Rebels. No Rebel Troops at Harper's Ferry.Johnston Concentrating his Forces at Leesburgh.More National Prisoners Es-caped from Richmond.Secession Outrage at Cumberland, Md.Attempt to Capture Ex-Gov.Thomas.Attempts to Raise Peace Flags in Con-necticut. The Bridgeport Farmer OfficeDemolished.INTERESTING FROM FORTRESS MONROE.The Rebels at Sewall's Point Startled.SPECIAL DISPATCH FROM WASHINGTON. AN IMPORTANT SEIZURE. THS TROOPS IN VIRGINIA. GEN. HANSFIELD COMING NORTH. AN ARRIVAL FROM RICHMOND. CAME THROUGH. CLOTHING DEPOT. DISPATCH TO THE ASSOCIATED PRESS.",10
"SARATOGA CORRESPONDENCE.; Saratoga in Civil War-time-A Project for the Annihilation of the Southern Army A Wife with More Hasbauds than the Law Allows the Army Contractors Redivivus and Bibulous A Suggestion toSecretary Cameron A Ball, and Whatthe Belles Wore.",10
No Time for Peace.,9
NEWS OF THE DAY.,9
Peace with Rebellion.,9
HOUSE OF REPRESENTATIVES.,9
Spies in the Armies.,9
Functions of the Press.,9
THE INCREASE OF THE ARMY.,9
"IMPORTANT FROM MISSOURI.; REBEL PLAN TO ATTACK ST. LOUIS. ST. LOUIS, Saturday, Aug. 3.",9
GENERAL CITY NEWS.,9
NEWS OF THE DAY.,9
An Assortment of Lies.,9
HOUSE OF REPRESENTATIVES.,9
GENERAL MARKETS.,9
DIED.,9
MONETARY AFFAIRS.,9
THE COMPTROLLER'S REPORT.,9
"NOTES OF THE REBELLION.; THE BATTLE OF MANASSAS. LETTER FROM DR. J.C. NOTT, OF SOUTH CAROLINA",9
"Who are the ""Six Hundred",9
HOUSE OF REPRESESENTATIVES.,9
GENERAL CITY NEWS.,9
GENERAL MARKETS.,9
The Temper of the Nation.,9
VERY FAST WAR-VESSELS.,9
The Volunteers' Reward.,9
The True Voice of England.,9
PRISONERS AT RICHMOND.; ANOTHER LETTER FROM COL. CORCORAN. ANOTHER LETTER FROM RICHMOND. MILITARY AND NAVAL MOVEMENTS.,9
"ILLINOIS AND THE WAR.; TWO CAMPS AT CHICAGO NUMBER OF TROOPS FURNISHED BY THE STATE ANXIETY TO SERVE UNDER GEN. FREMONT IMMENSE GRAINCROPS, ETC.",9
The Democracy and the War.,9
AGRICULTURAL AND DOMESTIC.; HENS' NESTS SURE REMEDY FOR EATING EGGS.,9
NOTES OF THE REBELLION; FROM FORTRESS MONROE. MOVEMENTS IN ARIZONA. HOW IT WAS DONE THE CHEROKEES. A FEMALE SPY. THE REBEL WAR VESSELS. A JOHN BROWN MAN.,9
"MARINE INTELLIGENCE.; Arrived. Below. Sailed. Spoken, &c. Foreign Ports.",9
Confederate Finances.,9
REFUGEES FROM THE SOUTH.,9
THREE DAYS LATER FROM EUROPE; Arrival of the Nova Scotian. Opposition to an American Loan in England. Approaching Solution of the Roman Question. THE FRENCH TROOPS TO BE WITHDRAWN Cotton Firm Breadstuffs Quiet Provisions Dull.,9
GENERAL MARKETS.,9
NOTES OF THE REBELLION.; CONGRESSMEN ON THE BATTLE-FIELD. THE OPINION OF SENATOR LANE.,9
DIED.,9
"Commercial News by the Nova Scotia.; LIVERPOOL DREADSTUFFS MARKET LIVERPOOL, PRODUCE MARKET. LONDON MARKETS LONDON MONEY MARKET. LONDON MONEY MARKET.",9
NEWS OF THE DAY.,9
"MARINE INTELLIGENCE.; Cleared. Arrived. Below. Sailed. By Telegraph. Miscellaneous. Spoken, &c. Foreign Ports.",9
SECRETARY CHASE IN NEW-YORK.; THE CHAMBER OF COMMERCE WELCOMES SECRETARY CHASE AND SECRETARY SMITH. INTERESTING SPEECHES OF THE SECRETARIES. SPEECH OF SECRETARY SMITH.,9
The Fire Zouaves Again.,9
BROOKLYN NEWS.; The Case of the Baltimore Police Commissioners.RETURN TO THE WRIT OF HABEAS CORPUS NOTAMENDED AN ATTACHMENT ISSUED AGAINSTTHE COMMANDER OF FORT LAFAYETTE.,9
LATEST COMMERCIAL NEWS.; [By TELEGRAPH TO LONDONDERRY.] LONDON MONEY MARKET. AMERICAN STOCKS.,9
SECRETARY CHASE IN NEW-YORK.; THE CHAMBER OF COMMERCE WELCOMES SECRETARY CHASE AND SECRETARY SMITH. INTERESTING SPEECHES OF THE SECRETARIES. RESPONSE OF SECRETARY CHASE. SPEECH OF SECRETARY SMITH. FLAGS OF TRUCE.,9
THE PRISONERS AT RICHMOND.,9
NEWS OF THE DAY.,9
Prisoners of War.,9
Courage and Cowardice.,9
The Enemy's Sea-coast.,9
PARSON BROWNLOW'S VIEWS.,9
Death of Lord Herbert.,9
MUTINY OF THE SEVENTY-NINTH.,9
DIED.,9
